id,allergen,First_size,First_weight,First_desc,First_price,Second_size,Second_weight,Second_desc,Second_price,Third_size,Third_weight,Third_desc,Third_price,Fourth_size,Fourth_weight,Fourth_desc,Fourth_price,product_id_id
25,"Eggs and Milk, may also contain: Nuts.",12cm,400g,For 3 - 4 persons,1300,18cm,850g,For 8 - 10 persons,1560,22cm,1.2kg,For 10 - 12 persons,1820,28cm,1.8kg,For 18 - 20 persons,2080,40
18,"Eggs and Milk, may also contain: Nuts.",12cm,400g,For 3 - 4 persons,1740,18cm,850g,For 8 - 10 persons,2088,22cm,1.2kg,For 10 - 12 persons,2436,28cm,1.8kg,For 18 - 20 persons,2784,39
1,"Gluten, Crustacean, Eggs, Peanuts, Soybeans, Milk, Lactose, Nuts or Sesame",12cm,400g,For 3 - 4 persons,440,18cm,850g,For 8 - 10 persons,528,22cm,1.2kg,For 10 - 12 persons,616,28cm,1.8kg,For 18 - 20 persons,704,24
2,"Alcohol, Gluten, Crustacean, Eggs,  Peanuts, Soybeans, Milk, Lactose, Nuts or Sesame",12cm,400g,For 3 - 4 persons,460,18cm,850g,For 8 - 10 persons,552,22cm,1.2kg,For 10 - 12 persons,644,28cm,1.8kg,For 18 - 20 persons,736,23
3,"Gluten, Crustacean, Eggs, Peanuts, Soybeans, Milk, Lactose, Nuts or Sesame",12cm,400g,For 3 - 4 persons,1620,18cm,850g,For 8 - 10 persons,1944,22cm,1.2kg,For 10 - 12 persons,2268,28cm,1.8kg,For 18 - 20 persons,2592,42
4,"Gluten, Crustacean, Eggs, Peanuts, Soybeans, Milk, Lactose, Nuts or Sesame",12cm,400g,For 3 - 4 persons,468,18cm,850g,For 8 - 10 persons,561,22cm,1.2kg,For 10 - 12 persons,665,28cm,1.8kg,For 18 - 20 persons,748,26
5,"Gluten, Crustacean, Eggs, Peanuts, Soybeans, Milk, Lactose, Nuts or Sesame",12cm,400g,For 3 - 4 persons,440,18cm,850g,For 8 - 10 persons,528,22cm,1.2kg,For 10 - 12 persons,616,28cm,1.8kg,For 18 - 20 persons,704,22
6,"Gluten, Crustacean, Eggs, Peanuts, Soybeans, Milk, Lactose, Nuts or Sesame",12cm,400g,For 3 - 4 persons,400,18cm,850g,For 8 - 10 persons,480,22cm,1.2kg,For 10 - 12 persons,560,28cm,1.8kg,For 18 - 20 persons,640,27
7,"Gluten, Crustacean, Eggs, Peanuts, Soybeans, Milk, Lactose, Nuts or Sesame",12cm,400g,For 3 - 4 persons,580,18cm,850g,For 8 - 10 persons,696,22cm,1.2kg,For 10 - 12 persons,812,28cm,1.8kg,For 18 - 20 persons,928,45
8,"Gluten, Crustacean, Eggs, Peanuts, Soybeans, Milk, Lactose, Nuts or Sesame",12cm,400g,For 3 - 4 persons,440,18cm,850g,For 8 - 10 persons,528,22cm,1.2kg,For 10 - 12 persons,616,28cm,1.8kg,For 18 - 20 persons,704,36
9,"Gluten, Crustacean, Eggs, Peanuts, Soybeans, Milk, Lactose, Nuts or Sesame",12cm,400g,For 3 - 4 persons,650,18cm,850g,For 8 - 10 persons,780,22cm,1.2kg,For 10 - 12 persons,910,28cm,1.8kg,For 18 - 20 persons,1040,41
10,"Gluten, Crustacean, Eggs, Peanuts, Soybeans, Milk, Lactose, Nuts or Sesame",12cm,400g,For 3 - 4 persons,460,18cm,850g,For 8 - 10 persons,552,22cm,1.2kg,For 10 - 12 persons,644,28cm,1.8kg,For 18 - 20 persons,736,21
11,"Gluten, Crustacean, Eggs, Peanuts, Soybeans, Milk, Lactose, Nuts or Sesame",12cm,400g,For 3 - 4 persons,1040,18cm,850g,For 8 - 10 persons,1684,22cm,1.2kg,For 10 - 12 persons,1965,28cm,1.8kg,For 18 - 20 persons,2246,28
12,"Gluten, Crustacean, Eggs, Peanuts, Soybeans, Milk, Lactose, Nuts or Sesame",12cm,400g,For 3 - 4 persons,440,18cm,850g,For 8 - 10 persons,528,22cm,1.2kg,For 10 - 12 persons,616,28cm,1.8kg,For 18 - 20 persons,704,44
13,"Gluten, Crustacean, Eggs, Peanuts, Soybeans, Milk, Lactose, Nuts or Sesame",12cm,400g,For 3 - 4 persons,440,18cm,850g,For 8 - 10 persons,528,22cm,1.2kg,For 10 - 12 persons,616,28cm,1.8kg,For 18 - 20 persons,704,34
14,"Gluten, Crustacean, Eggs, Peanuts, Soybeans, Milk, Lactose, Nuts or Sesame",12cm,400g,For 3 - 4 persons,440,18cm,850g,For 8 - 10 persons,528,22cm,1.2kg,For 10 - 12 persons,616,28cm,1.8kg,For 18 - 20 persons,704,30
15,"Gluten, Crustacean, Eggs, Peanuts, Soybeans, Milk, Lactose, Nuts or Sesame",12cm,400g,For 3 - 4 persons,440,18cm,850g,For 8 - 10 persons,528,22cm,1.2kg,For 10 - 12 persons,616,28cm,1.8kg,For 18 - 20 persons,704,33
16,"Gluten, Crustacean, Eggs, Peanuts, Soybeans, Milk, Lactose, Nuts or Sesame",12cm,400g,For 3 - 4 persons,468,18cm,850g,For 8 - 10 persons,561,22cm,1.2kg,For 10 - 12 persons,655,28cm,1.8kg,For 18 - 20 persons,748,31
17,"Gluten, Crustacean, Eggs, Peanuts, Soybeans, Milk, Lactose, Nuts or Sesame",12cm,400g,For 3 - 4 persons,468,18cm,850g,For 8 - 10 persons,561,22cm,1.2kg,For 10 - 12 persons,655,28cm,1.8kg,For 18 - 20 persons,748,47
19,"Gluten, Crustacean, Eggs, Peanuts, Soybeans, Milk, Lactose, Nuts or Sesame",12cm,400g,For 3 - 4 persons,468,18cm,850g,For 8 - 10 persons,561,22cm,1.2kg,For 10 - 12 persons,655,28cm,1.8kg,For 18 - 20 persons,748,35
20,"Gluten, Crustacean, Eggs, Peanuts, Soybeans, Milk, Lactose, Nuts or Sesame",12cm,400g,For 3 - 4 persons,540,18cm,850g,For 8 - 10 persons,648,22cm,1.2kg,For 10 - 12 persons,756,28cm,1.8kg,For 18 - 20 persons,864,37
21,"Gluten, Crustacean, Eggs, Peanuts, Soybeans, Milk, Lactose, Nuts or Sesame",12cm,400g,For 3 - 4 persons,440,18cm,850g,For 8 - 10 persons,528,22cm,1.2kg,For 10 - 12 persons,616,28cm,1.8kg,For 18 - 20 persons,704,32
22,"Gluten, Crustacean, Eggs, Peanuts, Soybeans, Milk, Lactose, Nuts or Sesame",12cm,400g,For 3 - 4 persons,468,18cm,850g,For 8 - 10 persons,561,22cm,1.2kg,For 10 - 12 persons,655,28cm,1.8kg,For 18 - 20 persons,748,38
23,"Gluten, Crustacean, Eggs, Peanuts, Soybeans, Milk, Lactose, Nuts or Sesame",12cm,400g,For 3 - 4 persons,468,18cm,850g,For 8 - 10 persons,561,22cm,1.2kg,For 10 - 12 persons,655,28cm,1.8kg,For 18 - 20 persons,748,29
24,"Gluten, Crustacean, Eggs, Peanuts, Soybeans, Milk, Lactose, Nuts or Sesame",12cm,400g,For 3 - 4 persons,468,18cm,850g,For 8 - 10 persons,561,22cm,1.2kg,For 10 - 12 persons,655,28cm,1.8kg,For 18 - 20 persons,748,46
26,"Gluten, Crustacean, Eggs, Peanuts, Soybeans, Milk, Lactose, Nuts or Sesame",12cm,400g,For 3 - 4 persons,520,18cm,850g,For 8 - 10 persons,624,22cm,1.2kg,For 10 - 12 persons,728,28cm,1.8kg,For 18 - 20 persons,832,25
27,"Gluten, Crustacean, Eggs, Peanuts, Soybeans, Milk, Lactose, Nuts or Sesame",12cm,400g,For 3 - 4 persons,1500,18cm,850g,For 8 - 10 persons,1800,22cm,1.2kg,For 10 - 12 persons,2100,28cm,1.8kg,For 18 - 20 persons,2400,43
